                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250410"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     497                                      896                  1.0011265311521903E+005                  3.4732382377320326E+000                  1.2999994622953443E+001                  3.4412449083035035E+001                 -8.7426944408772158E+000                  4.3134554067983890E+000                  3.3050179633977378E-001                  7.8143921774824361E-008                  9.9999998837221926E-001                  9.9999996473510144E-001                  4.3748487242895084E-001                  7.8143921774824361E-008                  9.9871375943309459E-001                  9.9839905174660826E-001                  4.0962900540419582E+000                 -2.9535231873998352E+001                  6.7161371584812657E-001                  4.0964533691313711E+000                  2.0671605561032180E+000                  4.0922097420469514E+000                 -2.9535231873998352E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7745541919782106E+033                  8.8879476871109164E+033                  1.1392039278961790E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3162301650739738E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4648276502057360E+000                  4.0945698112337947E+000                  6.4028276606992174E-001                  4.2714452678376542E+000                  0.0000000000000000E+000                  1.6591456435749247E+001                  8.8605009116470057E-001                  7.5265640551488504E+000                  6.0012997301408333E-001                  8.6760964554899078E-001                  1.2520407275392018E+000                  7.3529476189385456E-001                  2.5031224225590204E-001                  5.2829499842595034E-005                  6.6081361295140121E-003                  2.4464774663588290E-003                  6.6579710144819611E-003                  9.5639485803681232E+000                  3.2515958403370555E+000                                        0                                        5 
                                     498                                      901                  1.0323461457034815E+005                  3.4944275368019708E+000                  1.2999989341091082E+001                  3.4412448906582334E+001                 -8.7716404572254909E+000                  4.5372409056160263E+000                  3.4635101528015694E-001                  7.8143953873549264E-008                  9.9999998844030646E-001                  9.9999996709101624E-001                  4.5192562440439388E-001                  7.8143953873549264E-008                  9.9825761049265482E-001                  9.9802573282605489E-001                  4.1016001083386540E+000                 -2.9590421643781902E+001                  6.5339876052635804E-001                  4.1017548137868980E+000                  2.1378410998674395E+000                  4.0968533566126419E+000                 -2.9590421643781902E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8115694036759679E+033                  8.9304695265061436E+033                  1.1779897106461225E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3124757329084473E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4632781725930526E+000                  4.0846045184305320E+000                  6.3839907489365799E-001                  4.2752124737374819E+000                  0.0000000000000000E+000                  1.6586331951641839E+001                  8.8158977691546137E-001                  7.5257480741515659E+000                  6.0015131647660080E-001                  8.6758576564500978E-001                  1.2520961914361808E+000                  7.3524695944811103E-001                  2.5036176459954440E-001                  5.7913721196161648E-005                  6.6001921611561062E-003                  2.4464774663588294E-003                  6.6579710144819663E-003                  9.5635312602236766E+000                  3.2519504290545331E+000                                        0                                        5 
                                     499                                      899                  1.0651267409823374E+005                  3.5156168358719091E+000                  1.2999984141168783E+001                  3.4412448732866963E+001                 -8.7996199817214826E+000                  4.6614444153634631E+000                  3.5577490453640293E-001                  7.8143986978104007E-008                  9.9999998787269651E-001                  9.9999996744708919E-001                  4.6048714910809047E-001                  7.8143986978104007E-008                  9.9902703159570339E-001                  9.9877125084504259E-001                  4.0798760997974499E+000                 -2.9592518798161233E+001                  6.5635450048456068E-001                  4.0800398496186689E+000                  2.0894989962856116E+000                  4.0754129974321120E+000                 -2.9592518798161233E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7360233853201622E+033                  8.8780098471294331E+033                  1.1990626624999164E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3123383806113035E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4625564796969250E+000                  4.0789665791966074E+000                  6.3702349106895106E-001                  4.2779634676715217E+000                  0.0000000000000000E+000                  1.6585379533903783E+001                  8.8066430652325156E-001                  7.5256780826218037E+000                  6.0017579104821805E-001                  8.6755855866829623E-001                  1.2521600660247925E+000                  7.3519256761582108E-001                  2.5041645898416925E-001                  5.2755866200681039E-005                  6.5914916570028979E-003                  2.4464774663588312E-003                  6.6579710144819620E-003                  9.5631166319476559E+000                  3.2523215371286951E+000                                        0                                        5 
                                     500                                      902                  1.0995463660251359E+005                  3.5368061349418469E+000                  1.2999978869473875E+001                  3.4412448556753787E+001                 -8.8148558668670685E+000                  4.6389161411107374E+000                  3.5577504880869421E-001                  7.8144017237856060E-008                  9.9999998794568690E-001                  9.9999996774778765E-001                  4.6048733584283685E-001                  7.8144017237856060E-008                  9.9938939079281564E-001                  9.9909571678330278E-001                  4.0581013147284910E+000                 -2.9529731853747165E+001                  6.8146621408698538E-001                  4.0582837286586759E+000                  1.9399246651751962E+000                  4.0547803283305948E+000                 -2.9529731853747165E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6488832128769266E+033                  8.7873914364838671E+033                  1.1990150280357040E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3161571810224409E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4628438694958490E+000                  4.0774552529430492E+000                  6.3569304834432272E-001                  4.2806241770076046E+000                  0.0000000000000000E+000                  1.6589159964139977E+001                  8.8355660217649767E-001                  7.5265970804581910E+000                  6.0020604255039578E-001                  8.6752497094826531E-001                  1.2522390789561162E+000                  7.3512545663484785E-001                  2.5048359961367128E-001                  4.3725023704404073E-005                  6.5808213408909341E-003                  2.4464774663588281E-003                  6.6579710144819585E-003                  9.5627072095189760E+000                  3.2527250051724255E+000                                        0                                        5 
                                     501                                      902                  1.1356869723200746E+005                  3.5579954340117852E+000                  1.2999973361818112E+001                  3.4412448372757716E+001                 -8.8170286458691454E+000                  4.5595373713690028E+000                  3.4949734366226326E-001                  7.8144051022566865E-008                  9.9999998802284695E-001                  9.9999996811826064E-001                  4.5479232084191817E-001                  7.8144051022566865E-008                  9.9877207900870446E-001                  9.9859597589714222E-001                  4.0636019367692127E+000                 -2.9487622347816263E+001                  6.9621977387891265E-001                  4.0637882780063395E+000                  1.8579366882761807E+000                  4.0608887797089377E+000                 -2.9487622347816263E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6652686441695513E+033                  8.7997937547267417E+033                  1.1989853222023116E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3195162081476595E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4630888745615627E+000                  4.0765698223679374E+000                  6.3476032292533990E-001                  4.2824894438495011E+000                  0.0000000000000000E+000                  1.6591720171526664E+001                  8.8547065889629306E-001                  7.5272585355321722E+000                  6.0023837764877774E-001                  8.6748894234882479E-001                  1.2523233303555736E+000                  7.3505342623154513E-001                  2.5055693151622010E-001                  4.2264852957056948E-005                  6.5691550050853810E-003                  2.4464774663588294E-003                  6.6579710144819594E-003                  9.5622731832957992E+000                  3.2531603179593764E+000                                        0                                        5 
                                     502                                      903                  1.1736346089297600E+005                  3.5791847330817230E+000                  1.2999967591675309E+001                  3.4412448179992573E+001                 -8.8179981717109950E+000                  4.5648908148169900E+000                  3.4949749878954195E-001                  7.8144086272225744E-008                  9.9999998810368651E-001                  9.9999996838419014E-001                  4.5479252270524062E-001                  7.8144086272225744E-008                  9.9939025778822699E-001                  9.9924330820587182E-001                  4.0695259177684528E+000                 -2.9466675402649543E+001                  7.0381887558364276E-001                  4.0697129789766935E+000                  1.8194229454974853E+000                  4.0670773900336004E+000                 -2.9466675402649543E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6860928574590260E+033                  8.8195702223398339E+033                  1.1989792493104328E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3209893931289475E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4631622510083035E+000                  4.0756450572397451E+000                  6.3415118746776300E-001                  4.2837075219995109E+000                  0.0000000000000000E+000                  1.6592844663325913E+001                  8.8626432591792670E-001                  7.5275942792113630E+000                  6.0027274573872769E-001                  8.6745063208921513E-001                  1.2524128488609954E+000                  7.3497681641261525E-001                  2.5063511353688261E-001                  4.2163297537405347E-005                  6.5567441576881210E-003                  2.4464774663588316E-003                  6.6579710144819629E-003                  9.5618116274198481E+000                  3.2536244362644964E+000                                        0                                        5 
                                     503                                      903                  1.2134796273699297E+005                  3.6003740321516613E+000                  1.2999961557217055E+001                  3.4412447978397260E+001                 -8.8197357448758389E+000                  4.5876370146103209E+000                  3.5264356653486140E-001                  7.8144121410309592E-008                  9.9999998818822844E-001                  9.9999996855687112E-001                  4.5764034144839255E-001                  7.8144121410309592E-008                  9.9865762127419044E-001                  9.9846894143984333E-001                  4.0727041746044508E+000                 -2.9459027853594886E+001                  7.0730792327268821E-001                  4.0728913696969320E+000                  1.8035065384651754E+000                  4.0703612537993532E+000                 -2.9459027853594886E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6977799206688508E+033                  8.8314230283790120E+033                  1.1989870686814866E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3209042129409990E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4631169406604334E+000                  4.0747231550778569E+000                  6.3378085708255871E-001                  4.2844479811746066E+000                  0.0000000000000000E+000                  1.6593102361865910E+001                  8.8640480503216201E-001                  7.5277163812056020E+000                  6.0030845185346615E-001                  8.6741083348145154E-001                  1.2525058528737010E+000                  7.3489722310440708E-001                  2.5071634768349538E-001                  4.2271783465330076E-005                  6.5439000743674385E-003                  2.4464774663588303E-003                  6.6579710144819559E-003                  9.5613236117714937E+000                  3.2541152688402639E+000                                        0                                        5 
                                     504                                      903                  1.2553168967321079E+005                  3.6215633312215991E+000                  1.2999955253082842E+001                  3.4412447767792685E+001                 -8.8219378806457218E+000                  4.6061262767567293E+000                  3.5264373754409312E-001                  7.8144158857109442E-008                  9.9999998827654801E-001                  9.9999996866212471E-001                  4.5764056337424258E-001                  7.8144158857109442E-008                  9.9916271772100551E-001                  9.9885467896507052E-001                  4.0740087884206320E+000                 -2.9458460017528743E+001                  7.0871028250783175E-001                  4.0741960256402381E+000                  1.7955304902242393E+000                  4.0717155345484795E+000                 -2.9458460017528743E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7028297342313244E+033                  8.8368362557529912E+033                  1.1990026335440552E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3199940762413832E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4630197607184483E+000                  4.0739552863791975E+000                  6.3359128261719799E-001                  4.2848269195007544E+000                  0.0000000000000000E+000                  1.6592933758251892E+001                  8.8624042488904176E-001                  7.5277222706390772E+000                  6.0034648925279799E-001                  8.6736844267104207E-001                  1.2526049339155259E+000                  7.3481244308900329E-001                  2.5080286209035962E-001                  4.2405124918503315E-005                  6.5302870904939596E-003                  2.4464774663588312E-003                  6.6579710144819620E-003                  9.5608097626567474E+000                  3.2546320489794414E+000                                        0                                        5 
                                     505                                      903                  1.2992460295623950E+005                  3.6427526302915374E+000                  1.2999948665218369E+001                  3.4412447547709320E+001                 -8.8240079741713338E+000                  4.6168092770488292E+000                  3.5264391625011882E-001                  7.8144198352677499E-008                  9.9999998836397685E-001                  9.9999996870368191E-001                  4.5764079528854451E-001                  7.8144198352677499E-008                  9.9893273043051878E-001                  9.9853500383750049E-001                  4.0743903129758623E+000                 -2.9461250691969646E+001                  7.0914351871870118E-001                  4.0745775724864171E+000                  1.7914677758260620E+000                  4.0721204679725496E+000                 -2.9461250691969646E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7044365604787189E+033                  8.8386577895192410E+033                  1.1990224293737435E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3186590414139234E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4629142413358869E+000                  4.0734199460315859E+000                  6.3353465120851538E-001                  4.2849399622347528E+000                  0.0000000000000000E+000                  1.6592588351583682E+001                  8.8596100567851821E-001                  7.5276721155714359E+000                  6.0038646627849968E-001                  8.6732389732177484E-001                  1.2527090727453749E+000                  7.3472335291783675E-001                  2.5089376077800551E-001                  4.2542234661640400E-005                  6.5160620357968642E-003                  2.4464774663588312E-003                  6.6579710144819646E-003                  9.5602698257290903E+000                  3.2551750132892070E+000                                        0                                        5 
                                     506                                      903                  1.3453716190341965E+005                  3.6639419293614757E+000                  1.2999941773290679E+001                  3.4412447317467880E+001                 -8.8256012173294440E+000                  4.6219356290971483E+000                  3.5264410320452189E-001                  7.8144238721053106E-008                  9.9999998845544091E-001                  9.9999996723866891E-001                  4.5764103790711225E-001                  7.8144238721053106E-008                  9.9924529274153318E-001                  9.9907633212152647E-001                  4.0744129652618222E+000                 -2.9465404557995473E+001                  7.0921097970355185E-001                  4.0746002440898668E+000                  1.7889065624982963E+000                  4.0721566198052885E+000                 -2.9465404557995473E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7045772951582162E+033                  8.8387893858534864E+033                  1.1990445948572081E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3174531688496425E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4628195354691611E+000                  4.0731089464139441E+000                  6.3356856313314536E-001                  4.2848719081440487E+000                  0.0000000000000000E+000                  1.6592186031899107E+001                  8.8565283150036922E-001                  7.5275985796765257E+000                  6.0042844823724217E-001                  8.6727712557676406E-001                  1.2528184400518749E+000                  7.3462980954612378E-001                  2.5098919003408160E-001                  4.2682520120678259E-005                  6.5012145885383942E-003                  2.4464774663588290E-003                  6.6579710144819611E-003                  9.5597029284768258E+000                  3.2557450320870842E+000                                        0                                        5 
                                     507                                      903                  1.3938034879795881E+005                  3.6851312284314135E+000                  1.2999934554379207E+001                  3.4412447076302620E+001                 -8.8266595124486393E+000                  4.6239288023749019E+000                  3.5264429902909111E-001                  7.8144284784368748E-008                  9.9999998855124539E-001                  9.9999996756736587E-001                  4.6048890558457639E-001                  7.8144284784368748E-008                  9.9932189011379557E-001                  9.9922581817285017E-001                  4.0743241353523736E+000                 -2.9469949308488989E+001                  7.0915478856126268E-001                  4.0745114282525785E+000                  1.7885464637046653E+000                  4.0720692024775866E+000                 -2.9469949308488989E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7041927089385639E+033                  8.8382423776549286E+033                  1.1990690255451224E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3162395823650405E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4627406875011673E+000                  4.0729719698341569E+000                  6.3365777077924079E-001                  4.2846932516866021E+000                  0.0000000000000000E+000                  1.6591780810310574E+001                  8.8535130316374344E-001                  7.5275180940875259E+000                  6.0047090083328092E-001                  8.6722983753275640E-001                  1.2529290394542285E+000                  7.3453523305717383E-001                  2.5108565892734452E-001                  4.2822640150383410E-005                  6.4863029258259482E-003                  2.4464774663588286E-003                  6.6579710144819551E-003                  9.5591078581194147E+000                  3.2563433276517264E+000                                        0                                        5 
                                     508                                      903                  1.4446569503722494E+005                  3.7063205275013518E+000                  1.2999926985224281E+001                  3.4412446823436490E+001                 -8.8272731330403502E+000                  4.6242472819789429E+000                  3.5264450435480832E-001                  7.8144329854155585E-008                  9.9999998787638222E-001                  9.9999996791201051E-001                  4.6048917370238013E-001                  7.8144329854155585E-008                  9.9871895567233915E-001                  9.9840424634845026E-001                  4.0742851217019149E+000                 -2.9474574528480471E+001                  7.0916887012464846E-001                  4.0744724374963095E+000                  1.7858719235175933E+000                  4.0720438667678982E+000                 -2.9474574528480471E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7038666293706389E+033                  8.8375916738839311E+033                  1.1990934966683760E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3149522533274134E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4626721496323558E+000                  4.0729408193306709E+000                  6.3377927126512135E-001                  4.2844499978487081E+000                  0.0000000000000000E+000                  1.6591374459055064E+001                  8.8505412808738093E-001                  7.5274353914143175E+000                  6.0051690040445171E-001                  8.6717860714406203E-001                  1.2530488856977924E+000                  7.3443277240361216E-001                  2.5119015943002021E-001                  4.2972761432612377E-005                  6.4702416578343710E-003                  2.4464774663588294E-003                  6.6579710144819525E-003                  9.5584831552041543E+000                  3.2569713390750592E+000                                        0                                        5 
                                     509                                      903                  1.4980530858845435E+005                  3.7275098265712896E+000                  1.2999919043841283E+001                  3.4412446558135009E+001                 -8.8276136848354039E+000                  4.6243233054366470E+000                  3.5264471977807749E-001                  7.8144376731139691E-008                  9.9999998798825507E-001                  9.9999996868710617E-001                  4.6048945500573824E-001                  7.8144376731139691E-008                  9.9963272237880918E-001                  9.9942762474939228E-001                  4.0742811233887446E+000                 -2.9479265213744483E+001                  7.0921313784924944E-001                  4.0744684599974583E+000                  1.7838969323013441E+000                  4.0720500431850253E+000                 -2.9479265213744483E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7036140929514114E+033                  8.8369481980193519E+033                  1.1991189797958440E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3140753632607306E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4626090476419291E+000                  4.0729676769375498E+000                  6.3391890404941265E-001                  4.2841704669786456E+000                  0.0000000000000000E+000                  1.6590964859089979E+001                  8.8475717575326751E-001                  7.5273511467565948E+000                  6.0056520501906308E-001                  8.6712481949800890E-001                  1.2531747446489945E+000                  7.3432519707440391E-001                  2.5129986176369146E-001                  4.3130009838727261E-005                  6.4534913464809607E-003                  2.4464774663588286E-003                  6.6579710144819603E-003                  9.5578272865858303E+000                  3.2576305972072572E+000                                        0                                        5 
                                     510                                      903                  1.5541190281724522E+005                  3.7486991256412279E+000                  1.2999910709069743E+001                  3.4412446279691238E+001                 -8.8278054255455718E+000                  4.6242293841423932E+000                  3.5264494587295164E-001                  7.8144425702860655E-008                  9.9999998810566892E-001                  9.9999996866164331E-001                  4.6048975024425881E-001                  7.8144425702860655E-008                  9.9907871948622584E-001                  9.9898500258788947E-001                  4.0743064703791338E+000                 -2.9484033142082648E+001                  7.0928655096341930E-001                  4.0744938277182525E+000                  1.7821445031721594E+000                  4.0720845277472382E+000                 -2.9484033142082648E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7034354964895375E+033                  8.8363373922795395E+033                  1.1991455298220850E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3131617242410223E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4625477438813821E+000                  4.0730234962275462E+000                  6.3406942121550558E-001                  4.2838691542026917E+000                  0.0000000000000000E+000                  1.6590547504609194E+001                  8.8445581111930915E-001                  7.5272652180980399E+000                  6.0061593402487112E-001                  8.6706834314583014E-001                  1.2533069282902596E+000                  7.3421224428033649E-001                  2.5141503226830070E-001                  4.3294202605368703E-005                  6.4360261090056214E-003                  2.4464774663588307E-003                  6.6579710144819603E-003                  9.5571386508315985E+000                  3.2583227011547073E+000                                        0                                        5 
