                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250410"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     495                                      935                  5.9751562268836438E+004                  3.2746342122514949E+000                  1.7499977819166599E+001                  3.4541543408588694E+001                 -7.9286563523381322E+000                  6.8543947547166626E+000                  3.9110830723153045E-001                  7.8130415111158339E-008                  9.9999999329024314E-001                  9.9999997096890969E-001                  4.8954562460636153E-001                  7.8130415111158339E-008                  9.9809910757737941E-001                  9.9782514015055757E-001                  4.4726448540952291E+000                 -2.8457941552885728E+001                  1.0207405051824112E+000                  4.4727982462909024E+000                  2.4196640555193056E+000                  4.4687835613535682E+000                 -2.8457941552885728E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9053439148681884E+033                  1.3617876911062905E+034                  1.7142991823421669E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9107021348513337E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5201561366558884E+000                  4.4613615470812071E+000                  7.1302166109332221E-001                  4.2550618033445167E+000                  0.0000000000000000E+000                  1.6505890766203393E+001                  7.5946985249718268E-001                  7.5481647577038133E+000                  6.0013100471357705E-001                  8.6760828358848907E-001                  1.2520430830680471E+000                  7.3529199415273960E-001                  2.5031712577111009E-001                  6.2708068845315553E-005                  6.6032784581913180E-003                  2.4464774663588307E-003                  6.6579710144819655E-003                  1.2873877607153785E+001                  4.3774922240630492E+000                                        0                                        5 
                                     496                                      933                  6.1727728670850949E+004                  3.2958235113214327E+000                  1.7499955767368501E+001                  3.4541542861331990E+001                 -7.9523795038562515E+000                  7.1387898480843557E+000                  4.0621103084473448E-001                  7.8130515843216178E-008                  9.9999999310518028E-001                  9.9999997135349206E-001                  5.0581272526536769E-001                  7.8130515843216178E-008                  9.9949090973605559E-001                  9.9895087298817664E-001                  4.4664436626933455E+000                 -2.8499256884719557E+001                  1.0084866887658284E+000                  4.4665949323079293E+000                  2.4593282306584170E+000                  4.4621501389140121E+000                 -2.8499256884719557E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8872060225403874E+033                  1.3622086777359213E+034                  1.7733208607662657E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9063879695521955E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5190809903727569E+000                  4.4539814123211556E+000                  7.1148188627956066E-001                  4.2581408057153309E+000                  0.0000000000000000E+000                  1.6502209619986740E+001                  7.5631719909935324E-001                  7.5475053211827081E+000                  6.0015151070132200E-001                  8.6758538983665179E-001                  1.2520964476567924E+000                  7.3524617981284723E-001                  2.5036411560030936E-001                  6.4145235925887662E-005                  6.5952041605770312E-003                  2.4464774663588290E-003                  6.6579710144819620E-003                  1.2873254085534688E+001                  4.3780019996139750E+000                                        0                                        5 
                                     497                                      934                  6.3802703392966185E+004                  3.3170128103913710E+000                  1.7499933610770675E+001                  3.4541542311473783E+001                 -7.9715097356819342E+000                  7.2454848080073946E+000                  4.1219669431096362E-001                  7.8130614258935659E-008                  9.9999999324776379E-001                  9.9999997050671585E-001                  5.1115826865671454E-001                  7.8130614258935659E-008                  9.9895213775599001E-001                  9.9870708296081434E-001                  4.4375569031725295E+000                 -2.8457028654599384E+001                  1.0276035953481202E+000                  4.4377258486334448E+000                  2.3297454537052302E+000                  4.4341553872382899E+000                 -2.8457028654599384E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7305182449813339E+033                  1.3471268267721218E+034                  1.7900368962366526E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9110871015435669E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5190517309913485E+000                  4.4507737404562695E+000                  7.0993656910993530E-001                  4.2612308901963765E+000                  0.0000000000000000E+000                  1.6504442412764949E+001                  7.5792597270863615E-001                  7.5481176547940523E+000                  6.0017761041630691E-001                  8.6755644783071195E-001                  1.2521646756620164E+000                  7.3518836006601529E-001                  2.5042158378315948E-001                  5.3472505199299589E-005                  6.5853882165127714E-003                  2.4464774663588303E-003                  6.6579710144819672E-003                  1.2872647442583910E+001                  4.3785496756550906E+000                                        0                                        5 
                                     498                                      934                  6.5981426851187178E+004                  3.3382021094613092E+000                  1.7499910724494750E+001                  3.4541541743506492E+001                 -7.9786269797882170E+000                  7.1656222426014127E+000                  4.0921297953240571E-001                  7.8130715101617456E-008                  9.9999999308866216E-001                  9.9999997187263168E-001                  5.0581402717250690E-001                  7.8130715101617456E-008                  9.9935159546482488E-001                  9.9895344417946852E-001                  4.4283065275724960E+000                 -2.8388489210640085E+001                  1.0535452827478688E+000                  4.4284897301004191E+000                  2.1390015646949201E+000                  4.4260698818880071E+000                 -2.8388489210640085E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6823370188030243E+033                  1.3402899061786784E+034                  1.7899381640448557E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9183834574765702E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5194942577565689E+000                  4.4497219890005404E+000                  7.0852563985162886E-001                  4.2640521807457015E+000                  0.0000000000000000E+000                  1.6508712001690796E+001                  7.6115182628272071E-001                  7.5491837227153340E+000                  6.0020797807953352E-001                  8.6752268499393725E-001                  1.2522439194059858E+000                  7.3512090082997084E-001                  2.5048953758117504E-001                  4.6489839590601580E-005                  6.5737620904089212E-003                  2.4464774663588312E-003                  6.6579710144819629E-003                  1.2872029405063834E+001                  4.3791489241075370E+000                                        0                                        5 
                                     499                                      937                  6.8269086482319224E+004                  3.3593914085312471E+000                  1.7499886754351593E+001                  3.4541541148640142E+001                 -7.9797207807797808E+000                  7.1127674513532684E+000                  4.0621263278931324E-001                  7.8130822884673797E-008                  9.9999999324830047E-001                  9.9999997112706818E-001                  5.0312288802703720E-001                  7.8130822884673797E-008                  9.9928638306800510E-001                  9.9889672166393328E-001                  4.4358630567597412E+000                 -2.8346513018070585E+001                  1.0682983853198900E+000                  4.4360493197217918E+000                  2.0128003552655169E+000                  4.4342204157108602E+000                 -2.8346513018070585E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7127339931333706E+033                  1.3431427664022432E+034                  1.7898854665981205E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9225284459530659E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5197700930650040E+000                  4.4488244505378409E+000                  7.0752520000340990E-001                  4.2660524655757879E+000                  0.0000000000000000E+000                  1.6511313219913347E+001                  7.6307444427238469E-001                  7.5498670260121372E+000                  6.0024040609253493E-001                  8.6748653555293043E-001                  1.2523283854848375E+000                  7.3504863170831458E-001                  2.5056328981002185E-001                  4.5357857958670850E-005                  6.5611353557393209E-003                  2.4464774663588277E-003                  6.6579710144819525E-003                  1.2871371073653130E+001                  4.3797960692286022E+000                                        0                                        5 
                                     500                                      937                  7.0671129095007884E+004                  3.3805807076011853E+000                  1.7499861655986756E+001                  3.4541540525773875E+001                 -7.9809352795603870E+000                  7.1381472402955231E+000                  4.0621321538094113E-001                  7.8130936854479617E-008                  9.9999999340704249E-001                  9.9999997252571560E-001                  5.0581544544312806E-001                  7.8130936854479617E-008                  9.9864439062964250E-001                  9.9835268664128085E-001                  4.4419247232297598E+000                 -2.8326585333025132E+001                  1.0757372104196690E+000                  4.4421115776465268E+000                  1.9431939225467558E+000                  4.4405451552298878E+000                 -2.8326585333025132E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7331228384251829E+033                  1.3459443016369945E+034                  1.7898679690091042E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9242215133846632E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5198488082518304E+000                  4.4478309562517726E+000                  7.0687102248672162E-001                  4.2673601977428959E+000                  0.0000000000000000E+000                  1.6512428137066248E+001                  7.6385781198826619E-001                  7.5501953307801024E+000                  6.0027453732220171E-001                  8.6744847628849231E-001                  1.2524172663245383E+000                  7.3497252596092544E-001                  2.5064109125289946E-001                  4.5316346950080635E-005                  6.5478485196637324E-003                  2.4464774663588299E-003                  6.6579710144819672E-003                  1.2870670955047604E+001                  4.3804858749844922E+000                                        0                                        5 
                                     501                                      941                  7.3193273838330962E+004                  3.4017700066711232E+000                  1.7499835421615515E+001                  3.4541539874714374E+001                 -7.9828993467631078E+000                  7.1741151819810778E+000                  4.0921474040128508E-001                  7.8131053736143980E-008                  9.9999999303142795E-001                  9.9999997142419506E-001                  5.0581620372169667E-001                  7.8131053736143980E-008                  9.9877719636229867E-001                  9.9864588771844531E-001                  4.4450214242440058E+000                 -2.8319783089433450E+001                  1.0791267733297014E+000                  4.4452084046794385E+000                  1.9084637566280322E+000                  4.4437570994558984E+000                 -2.8319783089433450E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7439625860291136E+033                  1.3475164317991454E+034                  1.7898708894644135E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9244096698999966E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5198088983452527E+000                  4.4468842958043648E+000                  7.0647751207617349E-001                  4.2681465675044903E+000                  0.0000000000000000E+000                  1.6512677863814879E+001                  7.6399658405762350E-001                  7.5503056164822349E+000                  6.0031080022695471E-001                  8.6740804421202478E-001                  1.2525117001226169E+000                  7.3489166727741040E-001                  2.5072374862580538E-001                  4.5448994386228418E-005                  6.5337926949778479E-003                  2.4464774663588307E-003                  6.6579710144819594E-003                  1.2869931025788697E+001                  4.3812151719345636E+000                                        0                                        5 
                                     502                                      941                  7.5841525818820199E+004                  3.4229593057410614E+000                  1.7499808013767993E+001                  3.4541539194531623E+001                 -7.9850843762073112E+000                  7.2007378196105964E+000                  4.0921538130518464E-001                  7.8131176289197261E-008                  9.9999999322003852E-001                  9.9999997283951114E-001                  5.0848946659309724E-001                  7.8131176289197261E-008                  9.9864745177755965E-001                  9.9810879240458983E-001                  4.4462704673611340E+000                 -2.8319832753139536E+001                  1.0804229494889948E+000                  4.4464574680858826E+000                  1.8947165697933281E+000                  4.4450491150831626E+000                 -2.8319832753139536E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7485753087111850E+033                  1.3482253601741374E+034                  1.7898848627653406E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9238088811494460E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5197195429124788E+000                  4.4461300897173111E+000                  7.0627911989819514E-001                  4.2685426716776931E+000                  0.0000000000000000E+000                  1.6512503111100319E+001                  7.6383207403605169E-001                  7.5503006231302052E+000                  6.0034809008339873E-001                  8.6736647360951780E-001                  1.2526088134009155E+000                  7.3480852796569263E-001                  2.5080871954763084E-001                  4.5607187804431693E-005                  6.5194209427133437E-003                  2.4464774663588299E-003                  6.6579710144819663E-003                  1.2869152138720878E+001                  4.3819828716117000E+000                                        0                                        5 
                                     503                                      940                  7.8622190398333900E+004                  3.4441486048109993E+000                  1.7499779361010582E+001                  3.4541538483452698E+001                 -7.9869821819617952E+000                  7.2160056358458373E+000                  4.1220032757055275E-001                  7.8131302827150156E-008                  9.9999999341080825E-001                  9.9999997292002452E-001                  5.0849029915361210E-001                  7.8131302827150156E-008                  9.9967550398180627E-001                  9.9953840396189331E-001                  4.4466281470055113E+000                 -2.8322962453755927E+001                  1.0808567849703206E+000                  4.4468151805176417E+000                  1.8860892593374845E+000                  4.4454318378101600E+000                 -2.8322962453755927E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7499659154715701E+033                  1.3484494104964128E+034                  1.7899047245798100E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9228053068278725E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5196214004301076E+000                  4.4456195234415938E+000                  7.0622012172507886E-001                  4.2686599569450028E+000                  0.0000000000000000E+000                  1.6512152577325274E+001                  7.6355181717187226E-001                  7.5502426084037682E+000                  6.0038800792626190E-001                  8.6732198066877997E-001                  1.2527127765390560E+000                  7.3471954310782983E-001                  2.5089964773152623E-001                  4.5759591510117532E-005                  6.5041280697224419E-003                  2.4464774663588294E-003                  6.6579710144819577E-003                  1.2868333853113551E+001                  4.3827894341173765E+000                                        0                                        5 
